epoch,train_loss,train_acc
1,0.9263022444790525,0.5508260708637572
2,0.7594882208901925,0.6653319425283488
3,0.6458082549561759,0.7347151653824153
4,0.5578754280769774,0.7820586157003937
5,0.4991365985808966,0.8067902688515765
6,0.4484195505856444,0.8319257040950234
7,0.4245509626143992,0.845385107170497
8,0.38202695580511137,0.8624785490763485
9,0.33128685251581824,0.8830377872741344
10,0.30613280845558183,0.8929977455499849
11,0.26625034027601,0.9052794508563545
12,0.2474297815254318,0.913859820316969
13,0.2197764067243097,0.9234832935159326
14,0.20360462137302104,0.9315589353612167
15,0.18639051995755776,0.9372118846529156
16,0.17311552390376259,0.9425283488677277
17,0.16475805968781654,0.9452875264981998
18,0.14971579261156112,0.9499646690669269
19,0.137998363402844,0.9557522123893806
20,0.12830882314033007,0.9587132810659847
